/A,ARMOR MINERALS INC,04/21/2016
/AAB,ABERDEEN INTL INC,04/21/2016
/AAC,ARAK RESOURCES CORP,04/21/2016
/AAD,ADDED CAPITAL INC,04/21/2016
/AAN,ALEXANDER NUBIA INTERNATI,04/21/2016
/AAO,AUGUSTA INDUSTRIES INC,04/21/2016
/AAP,ALPHA PEAK LEISURE INC,04/21/2016
/AAR UN,PURE INDUSTRIAL REAL ESTA,04/21/2016
/AAT,ATI AIRTEST TECHNOLOGIES,04/21/2016
/AAV,ADVANTAGE OIL & GAS LTD,04/21/2016
/AAX,ADVANCE GOLD CORP,04/21/2016
/AAZ,AZINCOURT URANIUM INC,04/21/2016
/AA H,ALBA MINERALS LTD,04/21/2016
/ABE,ABE RESOURCES INC,04/21/2016
/ABI,ABCOURT MINES INC,04/21/2016
/ABK-C,ALLBANC SPLIT CORP PREF C,04/21/2016
/ABK A,ALLBANC SPLIT CORP,04/21/2016
/ABM,ATHABASCA MINERALS INC,04/21/2016
/ABN,ABEN RESOURCES LTD,04/21/2016
/ABQ H,ABCANA CAPITAL INC,04/21/2016
/ABR,ASHBURTON VENTURES INC,04/21/2016
/ABT,ABSOLUTE SOFTWARE CORPORA,04/21/2016
/ABU,ABENTEUER RES CORP,04/21/2016
/ABX,BARRICK GOLD CORP,04/21/2016
/ABZ,ASIABASEMETALS INC,04/21/2016
/AB H,ASBESTOS CORPORATION LIMI,04/21/2016
/AC,AIR CANADA,04/21/2016
/ACD,ACCORD FINANCIAL CORP,04/21/2016
/ACE H,ACE AVIATION HOLDINGS INC,04/21/2016
/ACH,ARCH BIOPARTNERS INC,04/21/2016
/ACK,ACTIVE GROWTH CAPITAL INC,04/21/2016
/ACL,ACL INTERNATIONAL LTD,04/21/2016
/ACN,ASHER RESOURCES CORP,04/21/2016
/ACO X,ATCO LTD,04/21/2016
/ACO Y,ATCO LTD,04/21/2016
/ACQ,AUTOCANADA INC,04/21/2016
/ACR UN,AGELLAN COMMERCIAL REIT,04/21/2016
/ACS,ARCHON MINERALS LTD,04/21/2016
/ACU,AURORA SOLAR TECHNOLOGIES,04/21/2016
/ACY H,ACME RESOURCES CORP,04/21/2016
/ACZ UN,AMERICAN CORE SECTORS DIV,04/21/2016
/AD,ALARIS ROYALTY CORP,04/21/2016
/ADC UN,CANADIAN ADVANTAGED CONVE,04/21/2016
/ADD,ARCTIC STAR EXPLORATION C,04/21/2016
/ADE,ADEX MINING INC,04/21/2016
/ADG,ARCUS DEVELOPMENT GROUP,04/21/2016
/ADI,ADRIANA RESOURCES INC,04/21/2016
/ADK,DIAGNOS INC,04/21/2016
/ADL,ADIRA ENERGY LTD,04/21/2016
/ADN,ACADIAN TIMBER CORP,04/21/2016
/ADR H,ARCLAND RESOURCES INC,04/21/2016
/ADV,ALDERON IRON ORE CORP,04/21/2016
/ADW A,ANDREW PELLER LTD,04/21/2016
/ADW B,ANDREW PELLER LTD,04/21/2016
/ADZ,ADAMERA MINERALS CORP,04/21/2016
/AEC,ARTISAN ENERGY CORPORATIO,04/21/2016
/AEF A,ACASTA ENTERPRISES INC CL,04/21/2016
/AEF W,ACASTA ENTERPRISES INC WT,04/21/2016
/AEI,ARSENAL ENERGY INC,04/21/2016
/AEM,AGNICO EAGLE MINES LIMITE,04/21/2016
/AEN,ANTRIM ENERGY INC,04/21/2016
/AER,ALTERNATIVE EARTH RESOURC,04/21/2016
/AET UN,ARGENT ENERGY TRUST  UNIT,04/21/2016
/AEU UN,ACTIVENERGY INCOME FUND,04/21/2016
/AEZ,AETERNA ZENTARIS INC,04/21/2016
/AE A,ANTERRA ENERGY INC,04/21/2016
/AF,ALARMFORCE INDS INC,04/21/2016
/AFE,AFRICA ENERGY CORP,04/21/2016
/AFM,ALPHAMIN RES CORP,04/21/2016
/AFN,AG GROWTH INTL INC,04/21/2016
/AFR,AFRICAN METALS CORP,04/21/2016
/AFS H,AFRASIA MINERAL FIELDS IN,04/21/2016
/AFY,ANTHEM UNITED INC,04/21/2016
/AGB,ATLANTIC GOLD CORP,04/21/2016
/AGB W,ATLANTIC GOLD CORP WTS,04/21/2016
/AGC,AMARILLO GOLD CORP,04/21/2016
/AGD,ANTIOQUIA GOLD INC,04/21/2016
/AGE,ADVENTURE GOLD INC,04/21/2016
/AGF B,AGF MANAGEMENT LTD,04/21/2016
/AGG,AFRICAN GOLD GROUP INC,04/21/2016
/AGH,CANADIAN SILVER HUNTER IN,04/21/2016
/AGI,AMALCO CLASS A,04/21/2016
/AGI W,AMALCO CLASS A WTS,04/21/2016
/AGI WA,ALAMOS GOLD INC WTS A,04/21/2016
/AGL,AGULIA AMERICAN GOLD LTD,04/21/2016
/AGM,ALDRIDGE MINERALS INC,04/21/2016
/AGO,AURCREST GOLD INC,04/21/2016
/AGT,AGT FOOD AND INGREDIENTS,04/21/2016
/AGU,AGRIUM INC,04/21/2016
/AGV,AGAVE SILVER CORP,04/21/2016
/AGX,AMADOR GOLD CORPORATION,04/21/2016
/AGY,ATOM ENERGY INC,04/21/2016
/AHF,ASTON HILL FINANCIAL INC,04/21/2016
/AHI,AGILITY HEALTH INC,04/21/2016
/AHO H,ANTLER HILL OIL & GAS LTD,04/21/2016
/AHP,ALLIED HOTEL PROPERTIES,04/21/2016
/AHR,AMARC RESOURCES LTD,04/21/2016
/AHS,ALTA NATURAL HERBS & SUPP,04/21/2016
/AHU,ARCTIC HUNTER ENERGY INC,04/21/2016
/AHY UN,ADVANTAGED CANADIAN HIGH,04/21/2016
/AI,ATRIUM MORTGAGE INVESTMEN,04/21/2016
/AIF,ALTUS GROUP LTD,04/21/2016
/AII,ALMONTY INDUSTRIES INC,04/21/2016
/AIM,AIMIA INC,04/21/2016
/AIM-A,AIMIA INC PREF,04/21/2016
/AIM-B,AIMIA INC PREF SER 2,04/21/2016
/AIM-C,AIMIA INC CUMULATIVE RATE,04/21/2016
/AIN H,AINTREE RESOURCES INC,04/21/2016
/AIS H,AIS RESOURCES LTD,04/21/2016
/AIX,ALIX RESOURCES CORP,04/21/2016
/AJX,AGJUNCTION INC,04/21/2016
/AKG,ASANKO GOLD INC,04/21/2016
/AKH,ALASKA HYDRO CORP,04/21/2016
/AKM,ACT 360 SOLUTIONS LTD,04/21/2016
/AKR,ACKROO INC,04/21/2016
/AKT A,AKITA DRILLING LTD,04/21/2016
/AKT B,AKITA DRILLING LTD. CL 'B,04/21/2016
/AL,ALX URANIUM CORP,04/21/2016
/ALA,ALTAGAS LTD,04/21/2016
/ALA-A,ALTAGAS LTD PFD A,04/21/2016
/ALA-B,ALTAGAS LTD PFD B,04/21/2016
/ALA-E,ALTAGAS LTD PREF E,04/21/2016
/ALA-G,ALTAGAS LTD SERIES G PFD,04/21/2016
/ALA-I,ALTAGAGS PFD SER I  PFD,04/21/2016
/ALA-U,ALTAGAS LTD 5 YR RATE PRE,04/21/2016
/ALB,ALLBANC SPLIT CORP II,04/21/2016
/ALB-B,ALLBANC SPLIT CORP II PFD,04/21/2016
/ALB-C,ALLBANC SPLIT CORP II PFD,04/21/2016
/ALC,ALGOMA CENTRAL CORP,04/21/2016
/ALD,ALDEVER RESOURCES INC,04/21/2016
/ALE,APPLE CAPITAL INC,04/21/2016
/ALG,ALGOLD RESOURCES LTD,04/21/2016
/ALI,ALTITUDE RESOURCES INC,04/21/2016
/ALL H,ALLANTE RESOURCES LTD,04/21/2016
/ALM,ALLIANCE MINING CORP,04/21/2016
/ALN,ALDREIN RESOURCE CORP,04/21/2016
/ALP,ALABAMA GRAPHITE CORP,04/21/2016
/ALQ,ALQ GOLD CORP,04/21/2016
/ALS,ALTIUS MINERALS CORP,04/21/2016
/ALT,ALTURAS MINERALS,04/21/2016
/ALV,ALVOPETRO ENERGY LTD,04/21/2016
/ALW,ALL IN WEST CAPITAL CORP,04/21/2016
/ALY,ANALYTIXINSIGHT INC,04/21/2016
/ALZ H,ALDERSHOT RESOURCES LTD,04/21/2016
/AME,ABACUS MINING & EXPLORATI,04/21/2016
/AMG,AM GOLD INC,04/21/2016
/AMI,AURICO METALS INC,04/21/2016
/AMK,AMERICAN CREEK RESOURCES,04/21/2016
/AML,ARGUS METALS CORP,04/21/2016
/AMM,ALMADEN MINERALS LTD,04/21/2016
/AMN P,AUMENTO CAPITAL V CORP CA,04/21/2016
/AMO,ALTAN RIO MINERALS LIMITE,04/21/2016
/AMT H,AMATO EXPLORATION LTD,04/21/2016
/AMU,A M I RESOURCES INC,04/21/2016
/AMX,AMEX EXPLORATION INC,04/21/2016
/AMY,AMERICAN MANGANESE INC,04/21/2016
/AMZ,ALMADEX MINERALS LIMITED,04/21/2016
/AM H,AUTOMODULAR CORP,04/21/2016
/AN,ARENA MINERALS INC,04/21/2016
/ANB,ANGLO BOMARC MINES LTD,04/21/2016
/ANE,ALTAN NEVADA MINERALS LIM,04/21/2016
/ANF,ANFIELD NICKEL CORP,04/21/2016
/ANG,ANGEL GOLD CORP,04/21/2016
/ANK,ANGKOR GOLD CORP,04/21/2016
/ANL H,ATLANTIC INDUSTRIAL MINER,04/21/2016
/ANX,ANACONDA MINING INC,04/21/2016
/ANZ,ALIANZA MINERALS LTD,04/21/2016
/AOG UN,BROMPTON ADVANTAGED EQ WE,04/21/2016
/AOI,AFRICA OIL COP,04/21/2016
/AOS,ALBERTA OILSANDS INC,04/21/2016
/AOT,ASCOT RESOURCES LTD,04/21/2016
/AOZ,AURANIA RESOURCES LTD,04/21/2016
/APA,ALLIANCEPHARMA INC,04/21/2016
/APC,ADVANCED PROTEOME THERAPE,04/21/2016
/APD P,A2 ACQUISITION CORP,04/21/2016
/APE,APOGEE SILVER LTD,04/21/2016
/APH,APHRIA INC,04/21/2016
/APL,APPULSE CORPORATION,04/21/2016
/APN,ALTIPLANO MINERALS LTD,04/21/2016
/APO,ACASTI PHARMA INC,04/21/2016
/APR UN,AUTOMOTIVE PROPERTIES REI,04/21/2016
/APS,APTOSE BIOSCIENCES INC,04/21/2016
/APT,ALMO CAPITAL CORP,04/21/2016
/APV,APIVIO SYSTEMS INC,04/21/2016
/APY,ANGLO PACIFIC GROUP PLC,04/21/2016
/AP UN,ALLIED PROPERTIES RE INV,04/21/2016
/AQ,AFRICAN QUEEN MINES LTD,04/21/2016
/AQA,AQUILA RESOURCES INC,04/21/2016
/AQM,AQM COPPER INC,04/21/2016
/AQN,ALGOONQUIN POWER & UTLITI,04/21/2016
/AQN-A,ALGONQUIN POWER & UTILITI,04/21/2016
/AQN-D,ALGONQUIN POWER & UTILITI,04/21/2016
/AQN IR,ALGONQUIN POWER & UTIL CO,04/21/2016
/AQS,AEQUUS PHARMACEUTICALS IN,04/21/2016
/AQX A,ALIGNVEST ACQUISTION CORP,04/21/2016
/AQX W,ALIGNVEST ACQUISTION CORP,04/21/2016
/AR,ARGONAUT GOLD INC,04/21/2016
/ARA,ANCONIA RESOURCES CORP,04/21/2016
/ARB H,ARDONBLUE VENTURES INC,04/21/2016
/ARC,ARIAN RESOURCES CORP,04/21/2016
/ARD,ARMADA DATA CORPORATION,04/21/2016
/ARE,AECON GROUP INC,04/21/2016
/ARG,AMERIGO RESOURCES LTD,04/21/2016
/ARH,ALTIMA RESOURCES LTD,04/21/2016
/ARI,ACME RESOURCES INC,04/21/2016
/ARK,ARCHER PETROLEUM CORP,04/21/2016
/ARL,AFRICO RESOURCES LTD,04/21/2016
/ARR,AMR CORP,04/21/2016
/ARS,ASIAMET RESOURCES LTD,04/21/2016
/ART,ARHT MEDIA INC,04/21/2016
/ARU,AURANIA RESOURCES LTD,04/21/2016
/ARX,ARC RESOURCES LTD.,04/21/2016
/ARY,ANFIELD RESOURCES INC,04/21/2016
/ARZ,ARALEZ PHARMACEUTICALS IN,04/21/2016
/ASB H,ASB CAPITAL INC,04/21/2016
/ASC,ATHABASCA NUCLEAR CORP,04/21/2016
/ASG,AURORA SPINE CORPORATION,04/21/2016
/ASL,ARGENTUM SILVER CORP.,04/21/2016
/ASM,AVINO SILVER & GOLD MINES,04/21/2016
/ASN,ASIAN MINERAL RESOURCES L,04/21/2016
/ASP,ACERUS PHARMACEUTICALS CO,04/21/2016
/ASQ,ASTORIUS RESOURCES LTD,04/21/2016
/ASR,ALACER GOLD CORP,04/21/2016
/AST,ASTUR GOLD CORP,04/21/2016
/AT,ACUITYADS HOLDINGS INC,04/21/2016
/ATA,ATS AUTOMATED TOOLING SYS,04/21/2016
/ATC,ATAC RESOURCES LTD,04/21/2016
/ATD A,ALIMENTATION COUCHE-TARD,04/21/2016
/ATD B,ALIMENTATION COUCHE-TARD,04/21/2016
/ATE,ANTIBE THERAPEUTICS INC,04/21/2016
/ATG,ATLANTA GOLD INC,04/21/2016
/ATH,ATHABASCA OIL CORPORATION,04/21/2016
/ATI,ALTAI RESOURCES INC,04/21/2016
/ATL,ATLATSA RESOURCES CORP,04/21/2016
/ATM,ATACAMA PACIFIC GOLD CORP,04/21/2016
/ATP,ATLANTIC POWER CORP,04/21/2016
/ATU,ALTURA ENERGY INC,04/21/2016
/ATV,ALTO VENTURES INC,04/21/2016
/ATW,ATMANCO INC,04/21/2016
/ATX,ARGENTEX MINING CORP,04/21/2016
/ATY,ATICO MINING CORPORATION,04/21/2016
/AU,AURION RESOURCES LTD,04/21/2016
/AUE,AUREUS MINING INC,04/21/2016
/AUG,AURYN RESOURCES INC,04/21/2016
/AUI UN,AUSTRALIAN BANC INCOME FU,04/21/2016
/AUM,GOLDEN MINREALS COMPANY,04/21/2016
/AUN,AURCANA CORP,04/21/2016
/AUP,AURINIA PHARMACEUTICALS I,04/21/2016
/AUR,AURGENT GOLD CORP,04/21/2016
/AUS H,AUSTPRO ENERGY CORPORATIO,04/21/2016
/AUT,AUSTIN RESOURCES LTD,04/21/2016
/AUU,AURA SILVER RESOURCES INC,04/21/2016
/AUV,AUGYVA INC,04/21/2016
/AUX,AURAMEX RESOURCE CORP,04/21/2016
/AUZ UN,AUSTRALIAN BANC CAPITAL S,04/21/2016
/AVA,AURVISTA GOLD CORP,04/21/2016
/AVC,AMERICAN VANADIUM CORP,04/21/2016
/AVD,AVIDUS MANAGEMENT GROUP I,04/21/2016
/AVE,AVEDA TRANSPORTATION AND,04/21/2016
/AVK,AVNEL GOLD MINING LTD,04/21/2016
/AVL,AVALON ADVANCED MATERIALS,04/21/2016
/AVN,AVANTI ENERGY INC,04/21/2016
/AVO,AVIGILON CORPORATION,04/21/2016
/AVP,AVCORP INDUSTRIES INC,04/21/2016
/AVT,ALLOYCORP MINING INC,04/21/2016
/AVU,AVRUPA MINERALS LTD,04/21/2016
/AVX,ALTAIR GOLD INC,04/21/2016
/AVZ,AVALA RESOURCES LTD,04/21/2016
/AV UN,BROMPTON ADVANT VIP INCOM,04/21/2016
/AWE,THUNDERSTRUCK RESOURCES L,04/21/2016
/AWI,ADVENT WIRELESS INC,04/21/2016
/AWS,ARROWSTAR RESOURCES LTD,04/21/2016
/AW UN,A & W REVENUE ROYALTIES,04/21/2016
/AX-A,ARTIS REAL ESTAE INVESTME,04/21/2016
/AX-E,ARTIS REIT PREF SERIES E,04/21/2016
