SYMBOL	nAME
@3N	3 YR US TREASURY NOTE
@A3	CDD - COLORADO SPRINGS
@AC	ETHANOL
@ACD	AUSTRALIAN $/CANADIAN $
@AD	AUSTRALIAN DOLLAR
@AE	BLOOMBERG COMMODITY INDEX
@AF	CDD - LITTLE ROCK
@AH	CDD - LOS ANGELES (USC)
@AJ	CDD - JACKSONVILLE
@AJY	AUSTRALIAN $/JAPANESE YEN
@AK	CDD - RALEIGH DURHAM
@ANE	AUSTRALIAN $/NEW ZEALAND $
@AR	AUSTRALIAN $/NZ $
@AS	AUSTRALIAN $/CANADIAN $
@ASE	MINI MSCI EM ASIA INDEX
@ASN	MINI MSCI EM ASIA NTR INDEX
@AW	CDD - WASHINGTON REAGAN NATIONAL AIRPORT
@AWE	MINI MSCI ACWI EX-US INDEX
@AWN	MINI MSCI ACWI EX-US NTR INDEX
@B1	30 YEAR USD INTEREST RATE SWAP
@BF	BRITISH POUND/SWISS FRANC
@BIO	E-MINI NASDAQ BIOTECH
@BO	SOYBEAN OIL
@BOB	US TREASURY BOND - ULTRA T BOND
@BP	BRITISH POUND
@BR	BRAZILIAN REAL
@BS	BLACK SEA WHEAT
@BT	BOSTON HOME PRICE INDEX
@BU2	TWO-YEAR BUNDLE FUTURES
@BU3	THREE-YEAR BUNDLE FUTURES
@BU5	FIVE-YEAR BUNDLE FUTURES
@BUB	US TREASURY BOND - ULTRA T BOND 1:1
@BUS	US MIDWEST #1 BUSHELING FERROUS SCRAP
@C	CORN
@CB	BUTTER - CASH SETTLED
@CC	COCOA
@CCT	COCOA (TAS)
@CD	CANADIAN DOLLAR
@CH	CHICAGO HOME PRICE INDEX
@CHL	CHILEAN PESO
@CJY	CANADIAN $/JAPANESE YEN
@CKO	CZECH KORUNA
@CKW	KCBT-CBOT WHEAT ICSO SYNTHETIC
@CNH	USD/OFFSHORE RMB
@CNY	USD/RMB WITH USD BANKING
@CPC	USD MALAYSIAN CRUDE PALM OIL SWAP
@CPO	CRUDE PALM OIL (USD)
@CSC	CHEESE - CASH SETTLED
@CT	COTTON #2
@CTT	COTTON #2 (TAS)
@CU	COMPOSITE HOME PRICE INDEX
@D0	HDD - LONDON
@D0	HDD - LONDON
@D1	HDD - PARIS
@D2	HDD - AMSTERDAM
@DA	MILK CLASS III
@DC	WASHINGTON D.C. HOME PRICE INDEX
@DE	DENVER HOME PRICE INDEX
@DGS	BLOOMBERG COMMODITY INDEX SWAP
@DK	MILK CLASS IV
@DRS	BLOOMBERG ROLL SELECT INDEX
@DX	US DOLLAR INDEX
@DXT	US DOLLAR INDEX (TAS)
@DY	DRY WHEY
@EAD	EURO FX/AUSTRALIAN $
@EB	3 MONTH EURIBOR
@ECD	EURO FX/CANADIAN DOLLAR
@ECZ	EURO/CZECH KORUNA
@ED	EURODOLLAR
@EHU	EURO/HUNGARIAN FORINT
@EJ	EUROYEN TIBOR
@EM	1 MONTH EURODOLLAR
@EMD	E-MINI S&P MIDCAP 400
@ENK	EURO FX/NORWEGIAN KRONE
@ENY	E-MINI NIKKEI 225 YEN INDEX
@ENY	E-MINI NIKKEI 225 YEN INDEX
@EPL	EURO/POLISH ZLOTY
@ES	E-MINI S&P 500
@ESK	EURO FX/SWEDISH KRONA
@ETR	TURKISH LIRA/EURO
@EU	EURO FX
@EZ	EURO/CZECH KORUNA
@F1	5 YEAR USD INTEREST RATE SWAP
@F1E	5 YEAR EUR INTEREST RATE SWAP
@FF	30 DAY FED FUND
@FF	30 DAY FED FUND
@FOB	5 YR-T-BOND
@FOL	5 YR - ULTRA US TREASURY NOTE
@FR	SAN FRANCISCO HOME PRICE INDEX
@FV	5 YR US TREASURY NOTE
@FXD	DOW JONES CME FX $ INDEX
