@JSA,AMEX NET TICK
@JSB,BSE NET TICK
@JSM,CHX NET TICK
@JSN,NYSE NET TICK
@JSP,PSE NET TICK
@JSR,NASDAQ NET TCK-3RD MK
@JSS,NASDAQ TICK-SM CAP
@JST,NASDAQ TICK-NMS STKS
@JSV,CNX NET TICK
@JSX,PHLX NET TICK
@JSZ,NASDAQ NET TICK-COMBO
@SCC,CBOE CALLS
@SPC,CBOE PUTS 
115A,NASDAQ 100 Issues Up
115D,NASDAQ 100 Issues Down
115T,NASDAQ 100 Issues Total
115U,NASDAQ 100 Issues Unchg
A1DOW,DJ AMERICAS STK
ACT,AMEX FT-ACTUARIES EUROPE
ADR,AMEX INTL MARKET
ADSTISNY,ADVANCING ISSUES ON NYSE
ADSTISOT,ADVANCING ISSUES ON OTC
ADSTVONY,ADVANCING VOLUME ON NYSE
ADSTVOOT,ADVANCING VOLUME ON OTC
ADVDECNY,ADVANCE/DECLINE - NYSE
ADVDECOT,ADVANCE/DECLINE - OTC
AEX,AMSTERDAM EOE
AIAT,AMEX Average Price
AIFVG3,DJ-AIG FAIR VALUE INDEX
AIFVJ3,DJ-AIG FAIR VALUE INDEX
AIFVM3,DJ-AIG FAIR VALUE INDEX
AIFVQ3,DJ-AIG FAIR VALUE INDEX
AIMT,NASDAQ NMS Average Price
AINT,NYSE Average Price
AIOT,NASDAQ 3rd Mkt Average Price
AIQT,NASDAQ Comb Average Price 
AIST,NASDAQ Sm Cap Average Price
AKT,VIENNA AKTIEN GLOBAL
ALLGO,JOHANNESBURG GOLD 
ATDOW,DJ AUTSTRIA
ATHEN,ATHENS STOCK EXCHANGE
AVSG,STOCKHOLM AVS GENERAL
BEDOW,DJ BELGIUM
BEL20,BRUXELLES BEL-20
BIX,S&P BANKS SECTOR
BKX,PHLX K B W BANK
BMX,COMPUTER BOXMAKER IDX
BOM,BOMBAY NATIONAL
BRDOW,DJ BRAZIL STOCK
BSEN,BOMBAY SENSITIVE
BSI,BOTNICK STOCK INDEX
BTK,AMEX BIOTECHNOLOGY
BURSA,CARACAS BURSA
BUX,B2B INTERNET HOLDRS
BVSP,SAO PAULO BOVESPA 
BXM,CBOE BUYWRITE MONTHLY IDX 
CAC,PARIS CAC 40
CIY,COMMERCIAL MARKETS IDX
CKG,SMALL CAP 600 BARRA GR IDX
CLDOW,DJ CHILE
CMADDENY,CUMULATIVE A/D NYSE
CMR,MORGAN STANLEY CONSUMER
CND,NASDAQ CANADA INDEX
COMP,DOW JONES 65 COMPOSITE
COMPQ,NASDAQ COMBINED COMP W VOL
COMPX,NASDAQ COMBINED COMP W/O VOL
CRX,MORGAN STANLEY COMMODITY
CTN,C S FIRST BOSTON TECH IDX 
CVK,SMALL CAP 600 BARRA VALUE 
CYC,MORGAN STANLEY CYCLICAL
DAX,FRANKFURT XETRA DAX
DCAA,AMEX Calls $ Vol Up
DCAD,AMEX Calls $ Vol Down
DCAT,AMEX Calls $ Vol Total
DCAU,AMEX Calls $ Vol Unchg
DCCA,CBOE Calls $ Vol Up
DCCD,CBOE Calls $ Vol Down
DCCT,CBOE Calls $ Vol Total
DCCU,CBOE Calls $ Vol Unchg
DCPA,PSE Calls $ Vol Up
DCPD,PSE Calls $ Vol Down
DCPT,PSE Calls $ Vol Total
DCPU,PSE Calls $ Vol Unchg
DCXA,PHLX Calls $ Vol Up
DCXD,PHLX Calls $ Vol Down
DCXT,PHLX Calls $ Vol Total
DCXU,PHLX Calls $ Vol Unchg
DDX,DISK DRIVE INDEX
DEDOW,DJ GERMANY STOCK INDEX
DESTISNY,DECLINING ISSUES ON NYSE
DESTISOT,DECLINING ISSUES ON OTC
DESTVONY,DECLINING VOLUME ON NYSE
DESTVOOT,DECLINING VOLUME ON OTC
DFX,PHILADELPHIA DEFENSE SECT 
DIAA,AMEX Issues $ Vol Up
DIAD,AMEX Issues $ Vol Down
DIAT,AMEX Issues $ Vol Total
DIAU,AMEX Issues $ Vol Unchg
DIKA,NASDAQ Other OTC Issues $ Vol Up
DIKD,NASDAQ Other OTC Issues $ Vol Down
DIKT,NASDAQ Other OTC Issues $ Vol Total
