AA-B,ALCOA INC SERIES1 CLASS B,04/21/2016,NASDAQ-OTC
AAAIF,ALTERNATIVE INVEST,04/21/2016,NASDAQ-OTC
AAALY,AAREAL BANK AG,04/21/2016,NASDAQ-OTC
AAAP,ADVANCED ACCELERATOR APPLI,04/21/2016,NASDAQ-OTC
AABB,ASIA BROADBAND INC,04/21/2016,NASDAQ-OTC
AABNF,ALTIN AG BAAR NAMEN,04/21/2016,NASDAQ-OTC
AABVF,ABERDEEN INTL INC,04/21/2016,NASDAQ-OTC
AACAF,AAC TECH HOLDINGS,04/21/2016,NASDAQ-OTC
AACAY,AAC TEC HOLDINGS ADR,04/21/2016,NASDAQ-OTC
AACEY,ASIA CEMENT CHIN ADR,04/21/2016,NASDAQ-OTC
AACS,AMERICAN COMM SOLUT,04/21/2016,NASDAQ-OTC
AACTF,AURORA SOLAR TECHNOLOGIES,04/21/2016,NASDAQ-OTC
AADR,WCM/BNY MELLON FOCUSED GRO,04/21/2016,NASDAQ-OTC
AAEEF,ALTAIR GOLD INC. COMMON S,04/21/2016,NASDAQ-OTC
AAEH,ALL AMERICAN ENERGY,04/21/2016,NASDAQ-OTC
AAGC,ALL AMERICAN GLD CRP,04/21/2016,NASDAQ-OTC
AAGIY,AIA GROUP LTD,04/21/2016,NASDAQ-OTC
AAGRY,ASTRA AGRO,04/21/2016,NASDAQ-OTC
AAIGF,AIA GROUP LTD,04/21/2016,NASDAQ-OTC
AAIIQ,ALABAMA AIRCRAFT IND,04/21/2016,NASDAQ-OTC
AAIR,AVANTAIR INC,04/21/2016,NASDAQ-OTC
AAMAF,ATLAS MARA,04/21/2016,NASDAQ-OTC
AAMC,ALTISOURCE ASSET MANAGEMEN,04/21/2016,NASDAQ-OTC
AAME,ATLANTIC AMERICAN,04/21/2016,NASDAQ-OTC
AAMTF,ARMADA MERCANTILE LT,04/21/2016,NASDAQ-OTC
AANOF,ASCIANO LTD,04/21/2016,NASDAQ-OTC
AAOI,APPLIED OPTOELECTRONICS I,04/21/2016,NASDAQ-OTC
AAON,AAON,04/21/2016,NASDAQ-OTC
AAPC,ATLANTIC ALLIANCE PARTNERS,04/21/2016,NASDAQ-OTC
AAPH,AMERICAN PETRO-HUNT,04/21/2016,NASDAQ-OTC
AAPJ,AAP INC.,04/21/2016,NASDAQ-OTC
AAPL,APPLE,04/21/2016,NASDAQ-OTC
AAPT,ALL AMERICAN PET CO,04/21/2016,NASDAQ-OTC
AASL,AMERICA'S SUPPLIERS,04/21/2016,NASDAQ-OTC
AASP,ALL-AMER SPORTPARK,04/21/2016,NASDAQ-OTC
AAST,ALLIED AMER STEEL CP,04/21/2016,NASDAQ-OTC
AATDF,AA LTD ORDINARY SHARES (UN,04/21/2016,NASDAQ-OTC
AATRL,AMG CAP TR II,04/21/2016,NASDAQ-OTC
AATV,ADAPTIVE AD SYSTEMS,04/21/2016,NASDAQ-OTC
AAUKF,ANGLO AMERICAN ORD,04/21/2016,NASDAQ-OTC
AAVL,AVALANCHE BIOTECHNOLOGIES,04/21/2016,NASDAQ-OTC
AAWC,ALEXANDRIA ADVANTAGE WARRA,04/21/2016,NASDAQ-OTC
AAWW,ATLAS AIR WORLDWIDE,04/21/2016,NASDAQ-OTC
AAXJ,ISHARES MSCI ALL COUNTRY A,04/21/2016,NASDAQ-OTC
AAXT,AAMAXAN TRANSPORT,04/21/2016,NASDAQ-OTC
ABAC,AOXIN TIANLI GROUP INC. C,04/21/2016,NASDAQ-OTC
