A,AGILENT TECHNOLOGIES,04/21/2016,NYSE
AA,ALCOA,04/21/2016,NYSE
AA-,ALCOA,04/21/2016,NYSE
AAA TEST,AAA/TEST,04/21/2016,NYSE
AAC,AAC HOLDINGS INC,04/21/2016,NYSE
AAL,AMERICAN AIRLINES GROUP IN,04/21/2016,NYSE
AAN,AARON'S,04/21/2016,NYSE
AAP,ADVANCE AUTO PARTS,04/21/2016,NYSE
AAT,AMERICAN ASSETS TRUST,04/21/2016,NYSE
AAU,ALMADEN MINERALS,04/21/2016,NYSE
AAV,ADVANTAGE OIL & GAS,04/21/2016,NYSE
AB,ALLIANCEBERNSTEIN,04/21/2016,NYSE
ABB,ABB,04/21/2016,NYSE
ABC,AMERISOURCEBERGEN,04/21/2016,NYSE
ABE,ABERDEEN EMG MKTS SM CO OP,04/21/2016,NYSE
ABG,ASBURY AUTOMOTIVE GROUP,04/21/2016,NYSE
ABM,ABM INDUSTRIES,04/21/2016,NYSE
ABR,ARBOR REALTY TRUST,04/21/2016,NYSE
ABT,ABBOTT LABORATORIES,04/21/2016,NYSE
ABX,BARRICK GOLD,04/21/2016,NYSE
ABY,ABENGOA YIELD PLC ORDINARY,04/21/2016,NYSE
AC,ASSOCIATED CAPITAL GROUP I,04/21/2016,NYSE
ACC,AMERICAN CAMPUS,04/21/2016,NYSE
ACG,ALLIANCE BERNSTEIN INCOME,04/21/2016,NYSE
ACH,ALUMINUM CORPORATION,04/21/2016,NYSE
ACM,AECOM,04/21/2016,NYSE
ACN,ACCENTURE,04/21/2016,NYSE
ACP,AVENUE INCOME CREDIT STRAT,04/21/2016,NYSE
ACU,ACME UNITED,04/21/2016,NYSE
ACV,ALLIANZGI DIVERSIFIED INCO,04/21/2016,NYSE
ACW,ACCURIDE,04/21/2016,NYSE
ACY,AEROCENTURY,04/21/2016,NYSE
ADC,AGREE REALTY,04/21/2016,NYSE
ADD TEST,ADD/TEST,04/21/2016,NYSE
ADI,ANALOG DEVICES,04/21/2016,NYSE
ADK,ADCARE HEALTY SYSTEMS,04/21/2016,NYSE
ADM,ARCHER-DANIELS MIDLAND,04/21/2016,NYSE
ADP,AUTOMATIC DATA PROCESSING,04/21/2016,NYSE
ADS,ALLIANCE DATA SYSTEMS,04/21/2016,NYSE
ADT,ADT CORP,04/21/2016,NYSE
ADX,ADAMS DIVERSIFIED EQUITY F,04/21/2016,NYSE
ADZ,POWERSHARES DB AGRICULTURE,04/21/2016,NYSE
AE,ADAMS RESOURCES,04/21/2016,NYSE
AEB,AEGON NV,04/21/2016,NYSE
AED,AEGON NV PERP CAPITAL SECU,04/21/2016,NYSE
AEE,AMEREN,04/21/2016,NYSE
AEG,AEGON,04/21/2016,NYSE
AEH,AEGON NV 6.375% PERPETUAL,04/21/2016,NYSE
AEK,AEGON NV 8%,04/21/2016,NYSE
AEL,AMERICAN EQUITY INV,04/21/2016,NYSE
AEM,AGNICO EAGLE MINES LIMITED,04/21/2016,NYSE
AEO,AMERICAN EAGLE,04/21/2016,NYSE
AEP,AMERICAN ELECTRIC POWER,04/21/2016,NYSE
AER,AERCAP HOLDINGS,04/21/2016,NYSE
AES,AES,04/21/2016,NYSE
AET,AETNA,04/21/2016,NYSE
AEY,ADDVANTAGE TECHS GRP,04/21/2016,NYSE
AF,ASTORIA FINANCIAL,04/21/2016,NYSE
AFA,AMERICAN FINANCIAL GROUP I,04/21/2016,NYSE
